model,tahun,harga,transmisi,odometer,jenis,pajak,konsumsiBBM,mesin
 PCX,2015.48,18596.96,Manual,31278.87,Bebek,242.58,104.99,125.4
 BeAT,2018.49,9041.06,Manual,102545.83,Bebek,276.08,99.58,135.56
 BeAT,2011.42,14868.32,Automatic,83774.45,Skuter,128.25,117.77,80.85
 CB150R,2014.35,16278.07,Automatic,65837.53,Bebek,109.52,33.69,4.75
 BeAT,2013.08,5589.57,Kopling,73112.22,Bebek,240.67,29.12,139.05
 CRF 150,2016.85,21997.6,Manual,12105.76,Trail,158.84,95.82,105.31
 Verza,2018.85,31389.63,Automatic,57151.93,Skuter,205.33,55.09,62.1
 Revo,2013.05,8533.23,Kopling,24181.58,Skuter,186.85,60.41,89.76
 Supra X 125,2016.23,22450.01,Manual,25909.22,Sport,45.87,81.04,64.47
 PCX,2012.58,24538.2,Manual,79199.36,Bebek,253.44,37.93,69.8
 Vario 125,2015.52,16881.82,Automatic,108608.49,Trail,58.73,90.34,133.02
 Verza,2014.71,25672.54,Kopling,48896.6,Trail,279.68,59.54,24.16
 PCX,2018.78,16613.41,Automatic,25834.57,Skuter,75.17,89.37,15.55
 Vario 125,2015.87,19543.18,Kopling,77721.92,Bebek,220.16,108.9,0.41
 Supra GTR,2013.8,4028.41,Manual,103894.0,Trail,85.4,44.6,47.1
 Supra GTR,2011.91,25379.98,Kopling,89437.44,Sport,95.34,118.29,22.11
 Sonic 150,2012.21,24432.23,Kopling,103608.11,Bebek,93.0,79.48,33.0
 PCX,2012.8,4997.07,Kopling,64521.49,Bebek,224.37,117.52,1.69
 Supra GTR,2013.01,15288.04,Kopling,89856.01,Bebek,167.04,48.15,34.08
 CRF 150,2017.8,34343.81,Kopling,17870.86,Trail,264.89,86.64,49.91
 Vario 125,2015.49,16925.56,Automatic,42368.64,Skuter,92.21,67.18,4.74
 Sonic 150,2015.19,19459.19,Kopling,47224.97,Skuter,207.6,103.1,91.19
 BeAT,2011.92,32187.91,Kopling,61549.55,Sport,225.88,86.77,85.32
 Vario 125,2017.88,26176.85,Manual,110705.2,Trail,45.44,75.97,14.56
 Sonic 150,2016.78,21959.01,Kopling,104259.86,Bebek,120.18,116.56,89.25
 PCX,2011.54,28689.71,Manual,17219.13,Sport,144.85,64.58,149.8
 Verza,2016.66,30766.36,Automatic,21721.26,Sport,106.71,49.34,141.67
 CB150R,2015.35,18053.45,Automatic,43470.63,Skuter,96.63,86.99,0.4
 BeAT,2011.65,18621.91,Kopling,35599.63,Bebek,205.93,88.53,119.31
 BeAT ,2014.67,15843.4,Automatic,73724.34,Bebek,64.76,70.59,53.04
 Verza,2014.88,33959.26,Kopling,107610.73,Trail,212.82,75.2,9.55
 Genio,2012.33,25549.89,Automatic,114613.26,Trail,280.51,121.08,44.4
 CRF 150,2018.57,6395.48,Kopling,78293.27,Trail,169.56,99.07,48.26
 Vario 125,2017.8,30722.48,Kopling,100007.97,Sport,183.43,38.73,78.49
 Genio,2016.35,18791.99,Manual,63185.77,Bebek,20.68,48.58,99.16
 Verza,2014.7,5944.05,Manual,25902.54,Skuter,259.34,122.63,112.36
 Sonic 150,2014.29,20949.63,Manual,63125.31,Sport,85.63,98.47,36.89
 BeAT ,2016.21,16814.11,Manual,66701.46,Sport,184.52,116.76,48.27
 BeAT,2015.36,31183.9,Kopling,88747.81,Skuter,293.73,57.47,46.26
 BeAT,2011.5,10163.43,Automatic,27262.21,Skuter,178.65,99.96,54.41
 BeAT,2015.1,29583.87,Kopling,44726.03,Trail,217.41,97.26,149.95
 CRF 150,2017.45,21198.33,Manual,44222.11,Skuter,133.6,56.58,116.69
 BeAT ,2014.67,5502.79,Manual,114277.7,Skuter,18.11,81.43,146.25
 CRF 150,2011.42,34119.6,Automatic,53625.12,Skuter,239.28,88.86,103.97
 CRF 150,2017.29,19792.08,Manual,90234.6,Skuter,10.5,74.67,60.94
 Supra X 125,2012.61,12874.07,Kopling,89730.72,Trail,210.2,108.24,58.46
 BeAT ,2013.07,18444.02,Kopling,32634.66,Sport,6.88,108.79,73.29
 CB150R,2012.32,30563.3,Kopling,68676.62,Bebek,258.69,110.51,62.53
 BeAT ,2013.64,13311.67,Kopling,106613.78,Bebek,47.29,105.93,124.25
 Verza,2017.05,9810.31,Kopling,57302.29,Sport,154.28,75.34,69.75
 Supra X 125,2015.16,7825.89,Automatic,112592.58,Bebek,179.15,65.0,44.34
 BeAT,2012.64,13091.92,Kopling,26623.94,Bebek,137.26,108.64,116.23
 Verza,2018.02,28135.72,Manual,10116.49,Sport,102.23,75.55,128.16
 Verza,2018.04,18513.27,Manual,106278.57,Bebek,140.34,51.9,63.06
 BeAT Street,2017.96,10896.2,Manual,101128.32,Bebek,93.42,77.21,100.17
 Revo,2012.91,8983.81,Manual,118178.13,Sport,131.44,41.76,8.82
 Supra X 125,2014.61,14179.83,Automatic,81327.76,Bebek,107.67,95.09,79.42
 Verza,2018.88,33123.7,Manual,111600.76,Skuter,169.86,60.58,6.75
 Revo,2017.18,14501.09,Automatic,98689.0,Sport,71.38,53.28,4.38
 Revo,2011.22,34627.48,Manual,100745.36,Trail,296.6,120.78,91.94
 Supra X 125,2011.52,18937.7,Automatic,68355.63,Bebek,150.26,103.36,45.5
 BeAT Street,2014.71,9388.74,Automatic,46379.64,Trail,58.25,104.35,111.38
 Genio,2018.27,31601.68,Automatic,111350.17,Bebek,143.12,88.5,134.41
 Sonic 150,2015.31,18161.63,Manual,52233.47,Skuter,259.92,109.4,20.91
 CB150R,2014.98,25940.04,Automatic,64787.95,Sport,6.54,101.64,108.68
 Sonic 150,2011.84,34489.82,Kopling,53880.36,Trail,203.87,86.08,77.18
 BeAT ,2016.25,5364.42,Kopling,67846.96,Sport,164.39,121.23,16.82
 BeAT,2017.58,6815.77,Manual,56750.16,Trail,50.87,46.58,97.74
 CB150R,2014.04,26276.53,Kopling,7034.81,Bebek,245.24,119.51,91.42
 BeAT ,2017.2,12591.66,Kopling,105171.91,Skuter,110.67,66.94,77.35
 Verza,2018.72,9549.02,Kopling,53677.93,Trail,88.14,79.25,138.97
 BeAT,2012.63,5027.05,Manual,70685.52,Trail,248.44,39.91,78.16
 Vario 125,2015.19,4480.6,Manual,17767.7,Skuter,191.56,80.39,148.58
 Supra X 125,2013.3,27962.18,Kopling,1789.61,Skuter,269.48,87.29,76.38
 CB150R,2017.34,7993.19,Manual,30251.59,Skuter,188.97,124.78,17.38
 CB150R,2015.62,18391.42,Automatic,84291.89,Skuter,222.25,122.59,70.57
 Verza,2016.08,22702.37,Kopling,13062.13,Skuter,250.93,121.74,27.35
 Genio,2017.38,17163.15,Manual,108329.79,Sport,16.42,61.79,89.57
 Revo,2014.17,4644.7,Manual,26690.34,Bebek,232.81,124.15,103.97
 BeAT,2018.32,28243.46,Kopling,25463.28,Bebek,184.11,72.18,70.27
 Verza,2015.26,4127.0,Manual,22747.05,Trail,20.85,110.63,14.66
 Supra GTR,2012.26,27569.2,Kopling,3036.07,Skuter,152.57,48.98,70.3
 BeAT Street,2016.57,31669.21,Manual,92200.86,Sport,24.74,77.07,12.22
 Revo,2017.35,17303.17,Automatic,104346.69,Sport,220.78,121.7,102.32
 Supra X 125,2013.53,20507.39,Kopling,73652.77,Trail,163.95,119.86,118.56
 Revo,2017.86,18680.4,Automatic,23534.42,Skuter,286.07,94.32,144.36
 Genio,2018.25,15941.92,Kopling,34956.52,Bebek,54.94,105.39,22.32
 Revo,2013.22,31485.76,Manual,57388.06,Skuter,181.81,45.11,79.86
 Supra X 125,2018.87,31688.83,Automatic,113678.39,Sport,63.47,98.0,85.13
 Genio,2012.13,14276.13,Manual,30494.12,Skuter,184.22,87.95,138.37
 Sonic 150,2012.62,22988.56,Kopling,87475.73,Bebek,216.79,36.88,94.09
 CB150R,2012.47,32717.59,Kopling,53096.04,Bebek,216.69,38.98,21.83
 CB150R,2018.15,33814.26,Kopling,36435.42,Trail,244.52,38.52,65.45
 BeAT Street,2016.23,19678.01,Kopling,55033.61,Sport,256.07,98.26,98.21
 BeAT ,2012.22,17926.68,Kopling,9769.11,Skuter,23.18,41.75,105.04
 Sonic 150,2014.52,12493.98,Automatic,95363.76,Skuter,102.98,73.37,129.46
 Sonic 150,2015.92,33714.84,Kopling,30017.66,Trail,206.14,62.63,27.08
 BeAT,2011.67,8254.66,Manual,86742.27,Trail,149.58,81.4,142.73
 CRF 150,2018.06,21889.1,Automatic,9432.8,Trail,57.2,96.53,8.87
 Revo,2017.43,12614.29,Manual,113766.94,Sport,165.81,94.42,147.56
 CB150R,2015.04,12503.78,Kopling,24100.95,Skuter,122.23,78.01,128.67
 Supra X 125,2018.74,16433.61,Manual,105253.55,Trail,117.01,73.04,99.04
 PCX,2014.34,34960.34,Automatic,96632.81,Sport,242.93,66.59,110.25
 CRF 150,2018.87,5513.89,Automatic,115268.43,Skuter,122.28,111.61,10.9
 PCX,2016.34,21848.93,Automatic,57619.14,Bebek,7.94,60.09,6.22
 Genio,2016.08,6375.17,Manual,86975.84,Trail,17.42,53.16,15.26
 CB150R,2012.33,8619.9,Automatic,45008.45,Sport,256.87,100.1,13.1
 CB150R,2018.06,17512.92,Manual,23083.58,Skuter,288.18,62.9,82.11
 CRF 150,2014.42,19724.85,Kopling,53522.87,Skuter,206.52,110.16,32.32
 BeAT Street,2012.3,11873.06,Kopling,20892.86,Trail,109.31,59.81,129.03
 CRF 150,2011.1,13672.15,Manual,116937.39,Trail,281.58,96.09,66.86
 PCX,2015.48,6512.28,Automatic,12715.27,Skuter,198.84,32.38,104.33
 CRF 150,2015.22,13259.15,Manual,70717.06,Sport,253.3,65.4,97.93
 CB150R,2016.75,33954.66,Manual,75100.11,Bebek,229.76,61.29,47.98
 BeAT Street,2018.12,33272.93,Manual,64700.9,Skuter,113.74,107.22,36.48
 Revo,2011.64,14246.87,Kopling,79303.13,Sport,143.61,121.8,51.37
 Supra GTR,2016.85,21609.07,Manual,15060.71,Trail,55.84,72.71,119.5
 BeAT,2012.5,32177.47,Kopling,66693.92,Skuter,87.6,108.01,87.94
 Vario 125,2017.87,3991.93,Manual,35184.14,Trail,233.44,95.87,38.03
 Sonic 150,2017.55,29091.52,Kopling,112011.18,Bebek,268.19,121.84,122.68
 CRF 150,2015.33,33387.18,Manual,91055.59,Trail,217.34,106.68,8.21
 BeAT ,2016.68,6648.27,Manual,115816.08,Bebek,139.55,35.52,104.88
 Genio,2013.51,8836.01,Automatic,5809.81,Trail,25.95,97.19,65.87
 Supra GTR,2014.77,33773.32,Automatic,34939.48,Trail,17.08,79.94,109.69
 BeAT,2017.57,20569.71,Manual,24384.23,Bebek,112.3,29.59,139.12
 BeAT,2014.67,4241.92,Manual,2703.44,Trail,139.15,52.38,112.51
 BeAT,2013.86,11836.86,Manual,29902.8,Sport,182.74,117.41,66.29
 BeAT,2014.95,17836.79,Manual,81255.1,Trail,1.95,117.83,22.65
 PCX,2017.63,25417.07,Automatic,28580.69,Skuter,296.92,105.49,120.95
 BeAT Street,2013.68,26672.87,Kopling,61279.84,Trail,109.18,123.23,69.11
 Sonic 150,2012.39,34855.16,Manual,105850.79,Sport,254.43,106.23,11.3
 CB150R,2016.7,12769.06,Automatic,83017.86,Skuter,160.49,28.99,107.86
 BeAT,2017.61,20590.93,Manual,47822.66,Sport,39.13,55.92,43.78
 BeAT ,2011.81,20438.16,Manual,45215.32,Skuter,239.27,30.97,7.33
 CB150R,2012.92,16454.73,Kopling,55012.42,Trail,212.95,37.13,135.41
 Supra X 125,2012.14,9076.68,Manual,22221.52,Sport,158.23,49.23,72.47
 Supra X 125,2013.78,34294.67,Manual,75986.9,Trail,154.37,76.85,42.14
 BeAT ,2014.6,30421.64,Kopling,44236.86,Skuter,26.24,110.21,107.46
 BeAT Street,2016.99,19346.49,Kopling,101679.45,Sport,196.75,111.61,132.89
 BeAT ,2016.21,22619.65,Kopling,90406.23,Bebek,273.37,87.77,0.05
 PCX,2015.97,10889.32,Kopling,73223.37,Sport,27.97,118.03,103.18
 CRF 150,2013.82,20764.61,Automatic,44242.67,Trail,79.05,76.51,115.05
 BeAT ,2017.73,25481.37,Automatic,26091.37,Bebek,270.69,114.24,31.49
 Revo,2014.77,19871.7,Automatic,92712.25,Bebek,85.3,72.04,73.44
 CB150R,2018.83,34694.91,Manual,58621.41,Skuter,196.18,54.89,13.39
 Supra GTR,2016.07,22872.25,Kopling,27834.86,Bebek,160.45,116.89,112.01
 Verza,2012.01,15373.01,Kopling,24355.05,Bebek,178.9,65.63,127.12
 BeAT Street,2016.41,27889.37,Automatic,20851.91,Skuter,124.74,76.83,16.23
 BeAT ,2013.6,9117.26,Manual,92831.01,Sport,90.0,59.9,122.47
 Genio,2016.49,15795.51,Manual,28333.4,Trail,14.56,92.3,115.74
 Supra X 125,2011.56,14623.77,Manual,63355.2,Sport,223.28,124.52,52.04
 Revo,2012.4,17270.95,Automatic,54519.49,Bebek,223.83,30.47,103.54
 Sonic 150,2017.85,28189.75,Manual,69587.44,Trail,201.22,115.29,0.01
 BeAT,2012.82,18904.71,Manual,104596.17,Sport,193.09,28.38,139.77
 Verza,2017.7,28571.46,Manual,103489.29,Trail,73.12,63.33,82.56
 BeAT Street,2013.23,21784.88,Kopling,54464.16,Bebek,6.7,44.35,93.05
 Supra GTR,2016.14,14471.22,Automatic,3198.98,Sport,242.61,101.46,99.7
 Verza,2016.55,29069.53,Kopling,51565.95,Trail,147.34,32.91,84.21
 BeAT ,2015.1,11233.4,Kopling,72715.13,Trail,92.05,81.69,128.51
 PCX,2013.44,10799.52,Automatic,67017.04,Sport,30.58,56.61,91.46
 Supra X 125,2012.7,19538.99,Kopling,78026.55,Sport,18.82,40.97,136.16
 Supra X 125,2011.27,11937.24,Manual,19519.4,Bebek,104.66,102.87,87.35
 Sonic 150,2013.43,4082.51,Manual,77461.67,Skuter,241.42,49.09,25.67
 PCX,2016.23,24025.23,Manual,22881.61,Trail,275.62,49.7,137.03
 BeAT,2018.51,19744.62,Manual,89696.9,Sport,269.03,54.68,102.24
 CB150R,2017.97,17698.71,Automatic,41287.71,Sport,276.0,84.92,104.89
 Vario 125,2017.13,33967.45,Kopling,84916.59,Sport,272.32,91.99,147.82
 Revo,2017.31,21619.84,Kopling,7022.82,Trail,158.17,29.71,11.28
 Supra X 125,2016.32,30737.2,Manual,49379.4,Bebek,65.82,51.46,64.29
 Genio,2013.08,8149.71,Manual,84344.66,Skuter,239.41,69.8,35.86
 Supra X 125,2018.26,21557.67,Kopling,28084.36,Trail,64.11,60.2,94.56
 Verza,2016.37,30879.1,Automatic,94963.68,Bebek,80.16,113.76,121.02
 Supra X 125,2015.48,21991.32,Kopling,75607.91,Trail,69.98,104.41,144.95
 BeAT Street,2011.89,26200.32,Manual,70522.93,Trail,154.49,88.71,68.19
 Supra X 125,2014.58,15406.39,Manual,42989.2,Sport,96.55,60.79,117.93
 Vario 125,2014.68,6683.33,Automatic,58155.76,Bebek,46.25,95.97,137.56
 Vario 125,2017.92,18085.03,Kopling,71674.52,Sport,135.95,109.83,102.5
 BeAT,2015.37,16106.36,Automatic,56980.42,Sport,262.17,85.7,36.41
 Supra GTR,2014.04,30850.41,Automatic,83553.85,Bebek,171.17,104.09,91.18
 CB150R,2018.81,11411.41,Manual,52419.35,Sport,263.5,100.66,145.49
 Genio,2011.89,33960.14,Kopling,25190.26,Sport,58.76,83.46,148.13
 Supra X 125,2014.38,33691.95,Manual,26562.23,Skuter,50.09,58.28,96.35
 Supra X 125,2011.34,11524.86,Kopling,2073.87,Bebek,172.67,100.34,133.05
 Revo,2016.92,14657.87,Manual,36801.38,Bebek,139.0,48.06,30.05
 Vario 125,2018.34,31739.44,Manual,89507.9,Sport,198.05,103.61,36.91
 Genio,2013.24,33956.65,Kopling,94831.39,Sport,238.39,106.04,142.93
 BeAT,2017.87,17633.86,Kopling,25213.13,Bebek,225.39,107.75,20.29
 Sonic 150,2013.34,13813.79,Manual,114231.16,Bebek,282.68,73.87,28.67
 Supra GTR,2018.29,20212.61,Kopling,60503.21,Trail,119.48,46.67,63.08
 CB150R,2017.03,25256.71,Manual,109281.8,Bebek,61.92,37.67,88.44
 PCX,2017.44,12331.13,Kopling,84548.3,Trail,165.27,100.11,90.57
 CB150R,2011.14,26776.23,Manual,86391.79,Sport,33.22,113.97,43.8
 BeAT Street,2018.7,5410.66,Manual,11397.15,Skuter,86.66,91.13,138.09
 Verza,2016.81,5336.94,Manual,27274.94,Skuter,62.37,41.98,137.26
 BeAT Street,2013.44,15850.79,Automatic,2428.14,Trail,118.97,118.68,58.81
 Supra X 125,2017.64,14827.01,Kopling,85649.86,Sport,33.36,123.94,65.14
 Supra GTR,2013.25,13646.44,Manual,41917.26,Sport,9.55,70.04,105.37
 Verza,2017.98,19118.33,Automatic,93947.75,Sport,197.04,85.7,99.45
 Genio,2011.9,13805.57,Manual,41269.9,Bebek,183.07,103.39,57.34
 PCX,2016.63,9797.25,Automatic,97792.99,Sport,212.51,99.43,62.14
 Vario 125,2015.33,13454.14,Manual,16768.83,Bebek,198.12,121.88,52.21
 Supra GTR,2011.77,34215.04,Manual,21789.91,Trail,34.29,39.14,35.31
 Supra GTR,2012.94,16625.33,Automatic,41498.19,Skuter,87.32,84.33,68.72
 BeAT Street,2011.1,17673.59,Automatic,49453.22,Trail,38.86,95.12,102.97
 Supra X 125,2014.75,21786.63,Kopling,42419.02,Sport,252.89,114.34,111.3
 BeAT ,2013.41,34478.25,Kopling,91240.95,Sport,224.07,112.79,116.83
 BeAT,2015.79,11336.72,Automatic,12798.2,Trail,60.46,122.87,56.21
 BeAT Street,2013.38,25054.32,Kopling,42714.84,Bebek,102.39,77.67,114.7
 Supra GTR,2013.4,26137.01,Automatic,99899.82,Bebek,289.98,108.58,0.98
 CRF 150,2016.95,22746.91,Kopling,9250.28,Bebek,178.25,69.45,71.56
 Revo,2011.39,6562.56,Manual,112266.19,Skuter,240.35,68.96,119.09
 PCX,2018.22,24916.74,Kopling,117440.05,Skuter,79.38,52.57,94.51
 BeAT,2017.82,5798.69,Manual,11811.84,Sport,63.02,107.37,71.11
 BeAT Street,2016.34,22398.05,Manual,35661.83,Trail,235.18,123.62,96.7
 PCX,2015.75,26873.19,Kopling,45207.29,Trail,205.76,52.87,136.04
 Revo,2018.14,10381.05,Automatic,92740.43,Sport,204.29,33.44,84.96
 Sonic 150,2012.48,30056.77,Manual,71507.15,Bebek,165.79,107.11,119.97
 Revo,2011.63,4746.01,Manual,77206.42,Skuter,169.07,88.16,147.11
 Revo,2012.92,30125.12,Kopling,90518.85,Trail,220.71,121.09,105.84
 PCX,2017.36,18160.81,Automatic,15272.29,Sport,81.0,52.47,86.0
 CB150R,2011.28,10587.53,Automatic,99425.59,Bebek,105.83,34.89,5.62
 PCX,2015.66,7972.74,Kopling,84413.52,Bebek,261.49,75.77,56.17
 BeAT ,2018.96,33541.23,Automatic,69320.45,Skuter,92.66,36.29,84.82
 Supra X 125,2017.85,6066.09,Kopling,106076.37,Skuter,163.89,53.39,119.58
 Verza,2015.17,10010.52,Kopling,83788.35,Sport,210.79,40.22,65.72
 CB150R,2011.51,14650.71,Kopling,25122.82,Sport,299.98,49.74,144.01
 Vario 125,2017.65,23149.71,Manual,51954.41,Bebek,130.59,38.3,40.77
 Verza,2015.79,20796.25,Manual,59519.59,Bebek,128.43,120.53,111.69
 Supra X 125,2011.92,7718.95,Manual,7887.85,Trail,252.78,55.02,62.85
 BeAT Street,2011.75,12838.22,Kopling,113712.7,Bebek,241.65,71.06,72.9
 BeAT,2018.28,11247.82,Manual,16519.27,Sport,219.32,115.17,120.38
 BeAT ,2016.35,10461.32,Manual,83453.6,Skuter,138.97,93.7,44.43
 BeAT ,2017.63,16626.29,Manual,60953.64,Sport,97.18,87.95,14.52
 Vario 125,2018.03,25764.08,Kopling,4406.86,Trail,182.62,96.44,78.04
 CB150R,2015.57,10583.31,Kopling,110195.86,Trail,262.87,108.4,79.32
 Sonic 150,2015.14,15239.01,Kopling,101617.27,Skuter,265.13,113.13,119.58
 Revo,2014.44,15995.23,Manual,63074.66,Sport,32.55,90.34,145.25
 CB150R,2013.54,34263.47,Automatic,28328.13,Trail,128.51,114.33,8.3
 BeAT,2014.48,33583.64,Manual,15701.03,Sport,139.42,79.93,88.75
 Sonic 150,2017.19,28762.49,Manual,44147.4,Trail,293.28,54.9,102.19
 BeAT ,2015.82,11338.52,Kopling,31444.44,Skuter,203.4,113.37,147.87
 PCX,2018.14,5921.7,Kopling,61007.78,Trail,122.17,80.52,141.39
 BeAT,2014.55,13686.09,Manual,115097.75,Sport,7.82,115.9,106.87
 Supra X 125,2015.86,12122.72,Manual,69039.45,Sport,169.62,31.9,78.27
 Vario 125,2016.05,19583.38,Automatic,106099.4,Trail,28.82,66.56,24.23
 Supra X 125,2015.73,28063.33,Automatic,77972.75,Bebek,250.33,119.94,57.63
 BeAT,2016.62,30577.82,Kopling,57308.03,Skuter,225.76,52.22,87.77
 Genio,2012.9,30157.91,Automatic,101943.27,Skuter,138.15,119.33,108.78
 Genio,2015.1,15020.52,Automatic,56851.7,Trail,128.76,120.53,95.31
 BeAT Street,2011.83,25240.02,Kopling,103592.92,Trail,269.2,113.57,107.12
 CB150R,2014.08,13559.11,Automatic,35697.63,Bebek,86.54,82.68,64.37
 BeAT ,2014.9,5699.19,Manual,16547.02,Skuter,74.71,90.75,109.14
 BeAT ,2016.22,25687.13,Automatic,102026.44,Bebek,281.76,112.35,21.56
 Revo,2018.6,4105.61,Kopling,70505.68,Skuter,242.77,103.26,24.39
 Revo,2015.81,16565.09,Manual,106000.72,Trail,246.19,89.12,24.42
 Revo,2016.95,14075.3,Automatic,111734.81,Skuter,58.56,123.28,133.63
 PCX,2015.05,25431.69,Manual,7700.86,Skuter,42.99,94.51,11.41
 Verza,2016.07,27705.09,Manual,60334.55,Skuter,7.81,122.62,120.23
 Supra GTR,2011.57,13286.45,Automatic,45508.95,Bebek,71.11,33.57,35.04
 Verza,2013.04,29120.95,Automatic,75028.87,Bebek,232.26,41.48,70.26
 Supra X 125,2013.89,12968.91,Kopling,94764.15,Skuter,72.01,71.79,137.39
 Verza,2014.78,17723.94,Kopling,34404.96,Sport,218.73,65.33,87.89
 PCX,2011.37,26481.25,Manual,66903.34,Bebek,75.57,103.93,31.52
 BeAT Street,2012.12,25417.42,Kopling,84779.3,Trail,118.59,43.58,42.61
