model,tahun,harga,transmisi,odometer,jenis,pajak,konsumsiBBM,mesin
 Vario 125,2014.86,32982.37,Automatic,61384.14,Bebek,229.56,77.82439596228869,2.49
 BeAT,2012.07,27242.66,Automatic,13724.33,Bebek,179.31,82.99409117170059,125.93
 Genio,2011.64,33167.69,Automatic,102376.7,Sport,278.1,148.14265103254468,116.99
 Supra X 125,2016.82,24908.78,Kopling,37837.59,Trail,119.51,42.230939619375235,9.49
 BeAT,2014.97,15136.84,Kopling,115672.89,Sport,95.73,75.82208898926889,54.73
 Sonic 150,2014.49,33069.31,Kopling,15258.3,Skuter,266.14,122.80460447407121,143.29
 Supra GTR,2016.84,12396.41,Kopling,114137.87,Skuter,14.77,85.72532192927704,58.8
 CRF 150,2017.12,14162.45,Kopling,12099.36,Trail,40.92,46.587119501189264,78.93
 BeAT,2012.27,25663.52,Automatic,28574.48,Trail,24.72,28.123924381435877,53.29
 BeAT ,2015.88,27676.1,Manual,6871.55,Trail,252.93,105.87222393280153,89.42
 Supra X 125,2012.08,32795.46,Manual,84353.91,Bebek,3.18,90.08012604743362,146.72
 BeAT Street,2017.01,10188.63,Kopling,101436.3,Trail,258.5,146.8885768550873,149.63
 BeAT Street,2016.26,28695.74,Kopling,52463.37,Trail,135.38,86.24066924960589,116.21
 Sonic 150,2018.65,26840.9,Manual,110639.98,Trail,1.21,67.65873300973783,60.65
 BeAT,2011.55,5789.33,Automatic,70845.0,Sport,120.49,62.31989949563295,74.16
 BeAT,2011.46,15879.97,Kopling,75517.01,Skuter,56.04,57.92572940217126,53.51
 Revo,2013.26,12621.0,Automatic,100862.18,Skuter,187.32,127.27261316069028,147.84
 BeAT,2013.09,13298.8,Manual,36312.22,Trail,203.81,86.26203579271625,106.16
 CB150R,2012.98,34465.96,Manual,43073.55,Skuter,146.26,78.59490175175463,67.34
 PCX,2018.25,23853.01,Kopling,107984.4,Sport,12.16,37.38220107097894,1.82
 BeAT ,2013.0,26189.78,Automatic,107397.46,Skuter,196.84,103.22818140418913,78.07
 Revo,2013.18,34268.49,Kopling,116282.99,Bebek,252.61,157.78752947136672,147.59
 Genio,2017.08,15567.32,Manual,107500.39,Sport,216.1,123.53853791210638,78.46
 Revo,2014.6,28815.61,Automatic,16377.47,Skuter,248.99,74.45206970276087,27.36
 CB150R,2017.21,17355.93,Kopling,98309.58,Skuter,60.15,32.15614104410222,3.31
 Genio,2011.52,30927.58,Kopling,49612.19,Sport,266.67,96.24913264043082,53.21
 BeAT ,2014.9,9435.33,Kopling,117967.7,Skuter,96.66,107.33894572915302,137.73
 CB150R,2011.27,33365.86,Manual,56959.11,Skuter,4.02,86.18347350513163,149.48
 Vario 125,2011.5,10624.46,Kopling,66554.8,Trail,253.02,123.24650017569677,141.81
 PCX,2018.25,13976.75,Automatic,63723.79,Bebek,282.55,134.43654624653163,109.41
 BeAT ,2012.11,27391.44,Kopling,39246.26,Sport,196.67,97.7421159052689,83.72
 BeAT,2015.26,16083.77,Manual,10218.02,Trail,69.43,44.8717656277871,88.6
 Vario 125,2014.29,22774.59,Kopling,106772.43,Skuter,75.52,86.18627385921832,80.85
 Sonic 150,2013.78,17669.25,Manual,95833.03,Sport,139.98,105.81566927315161,106.06
 BeAT ,2018.2,26960.2,Manual,17807.58,Sport,269.35,106.5256664139712,62.83
 Sonic 150,2011.17,10922.71,Automatic,92784.78,Bebek,44.88,65.28230038867993,100.38
 Genio,2016.31,5622.83,Automatic,75027.49,Bebek,247.79,67.500638314322,18.24
 Vario 125,2018.71,13156.5,Kopling,49530.45,Sport,87.39,41.96170572920069,39.85
 PCX,2015.48,18596.96,Manual,31278.87,Bebek,242.58,98.84429895407943,125.4
 BeAT,2018.49,9041.06,Manual,102545.83,Bebek,276.08,152.30354311137017,135.56
 BeAT,2011.42,14868.32,Automatic,83774.45,Skuter,128.25,91.20294287916985,80.85
 CB150R,2014.35,16278.07,Automatic,65837.53,Bebek,109.52,40.48519457900676,4.75
 BeAT,2013.08,5589.57,Kopling,73112.22,Bebek,240.67,124.69848629708197,139.05
 CRF 150,2016.85,21997.6,Manual,12105.76,Trail,158.84,89.97800982887468,105.31
 Verza,2018.85,31389.63,Automatic,57151.93,Skuter,205.33,97.57653722840813,62.1
 Revo,2013.05,8533.23,Kopling,24181.58,Skuter,186.85,71.99744062790712,89.76
 Supra X 125,2016.23,22450.01,Manual,25909.22,Sport,45.87,67.55544879055282,64.47
 PCX,2012.58,24538.2,Manual,79199.36,Bebek,253.44,104.29811469869846,69.8
 Vario 125,2015.52,16881.82,Automatic,108608.49,Trail,58.73,123.1774540973273,133.02
 Verza,2014.71,25672.54,Kopling,48896.6,Trail,279.68,57.155294222067624,24.16
 PCX,2018.78,16613.41,Automatic,25834.57,Skuter,75.17,43.574968951889716,15.55
 Vario 125,2015.87,19543.18,Kopling,77721.92,Bebek,220.16,70.3529900653017,0.41
 Supra GTR,2013.8,4028.41,Manual,103894.0,Trail,85.4,53.62343679069649,47.1
 Supra GTR,2011.91,25379.98,Kopling,89437.44,Sport,95.34,59.07083292072312,22.11
 Sonic 150,2012.21,24432.23,Kopling,103608.11,Bebek,93.0,47.076797446931366,33.0
 PCX,2012.8,4997.07,Kopling,64521.49,Bebek,224.37,44.0617324554553,1.69
 Supra GTR,2013.01,15288.04,Kopling,89856.01,Bebek,167.04,72.99445256653512,34.08
 CRF 150,2017.8,34343.81,Kopling,17870.86,Trail,264.89,111.1385198517872,49.91
 Vario 125,2015.49,16925.56,Automatic,42368.64,Skuter,92.21,27.511420582982353,4.74
 Sonic 150,2015.19,19459.19,Kopling,47224.97,Skuter,207.6,87.13288498090643,91.19
 BeAT,2011.92,32187.91,Kopling,61549.55,Sport,225.88,101.0315613764342,85.32
 Vario 125,2017.88,26176.85,Manual,110705.2,Trail,45.44,75.72552572497273,14.56
 Sonic 150,2016.78,21959.01,Kopling,104259.86,Bebek,120.18,107.91274463879135,89.25
 PCX,2011.54,28689.71,Manual,17219.13,Sport,144.85,95.2445799947403,149.8
 Verza,2016.66,30766.36,Automatic,21721.26,Sport,106.71,109.4965857304475,141.67
 CB150R,2015.35,18053.45,Automatic,43470.63,Skuter,96.63,33.78078832086666,0.4
 BeAT,2011.65,18621.91,Kopling,35599.63,Bebek,205.93,105.24102288940624,119.31
 BeAT ,2014.67,15843.4,Automatic,73724.34,Bebek,64.76,50.58002851533239,53.04
 Verza,2014.88,33959.26,Kopling,107610.73,Trail,212.82,90.7637760841827,9.55
 Genio,2012.33,25549.89,Automatic,114613.26,Trail,280.51,107.14069372934968,44.4
 CRF 150,2018.57,6395.48,Kopling,78293.27,Trail,169.56,60.374519609044924,48.26
 Vario 125,2017.8,30722.48,Kopling,100007.97,Sport,183.43,122.86020337823852,78.49
 Genio,2016.35,18791.99,Manual,63185.77,Bebek,20.68,75.48906429033951,99.16
 Verza,2014.7,5944.05,Manual,25902.54,Skuter,259.34,93.02240886237585,112.36
 Sonic 150,2014.29,20949.63,Manual,63125.31,Sport,85.63,52.103766532698316,36.89
 BeAT ,2016.21,16814.11,Manual,66701.46,Sport,184.52,64.25276014166509,48.27
 BeAT,2015.36,31183.9,Kopling,88747.81,Skuter,293.73,112.40175751662672,46.26
 BeAT,2011.5,10163.43,Automatic,27262.21,Skuter,178.65,47.036058441470686,54.41
 BeAT,2015.1,29583.87,Kopling,44726.03,Trail,217.41,123.4217126024955,149.95
 CRF 150,2017.45,21198.33,Manual,44222.11,Skuter,133.6,97.02865380468317,116.69
 BeAT ,2014.67,5502.79,Manual,114277.7,Skuter,18.11,99.66385131228226,146.25
 CRF 150,2011.42,34119.6,Automatic,53625.12,Skuter,239.28,133.9935242737714,103.97
 CRF 150,2017.29,19792.08,Manual,90234.6,Skuter,10.5,68.1956947536104,60.94
 Supra X 125,2012.61,12874.07,Kopling,89730.72,Trail,210.2,87.44871546426688,58.46
 BeAT ,2013.07,18444.02,Kopling,32634.66,Sport,6.88,40.21794220094675,73.29
 CB150R,2012.32,30563.3,Kopling,68676.62,Bebek,258.69,84.18285896111954,62.53
 BeAT ,2013.64,13311.67,Kopling,106613.78,Bebek,47.29,93.1361948276221,124.25
 Verza,2017.05,9810.31,Kopling,57302.29,Sport,154.28,75.3274751555348,69.75
 Supra X 125,2015.16,7825.89,Automatic,112592.58,Bebek,179.15,106.69951685001219,44.34
 BeAT,2012.64,13091.92,Kopling,26623.94,Bebek,137.26,73.50078137233848,116.23
 Verza,2018.02,28135.72,Manual,10116.49,Sport,102.23,96.80096029873782,128.16
 Verza,2018.04,18513.27,Manual,106278.57,Bebek,140.34,96.29008766530924,63.06
 BeAT Street,2017.96,10896.2,Manual,101128.32,Bebek,93.42,83.80524798399203,100.17
 Revo,2012.91,8983.81,Manual,118178.13,Sport,131.44,67.31392349592066,8.82
 Supra X 125,2014.61,14179.83,Automatic,81327.76,Bebek,107.67,85.81452367517251,79.42
 Verza,2018.88,33123.7,Manual,111600.76,Skuter,169.86,102.09843185630872,6.75
 Revo,2017.18,14501.09,Automatic,98689.0,Sport,71.38,40.75394989275287,4.38
 Revo,2011.22,34627.48,Manual,100745.36,Trail,296.6,150.67595957627628,91.94
 Supra X 125,2011.52,18937.7,Automatic,68355.63,Bebek,150.26,49.89232553891023,45.5
 BeAT Street,2014.71,9388.74,Automatic,46379.64,Trail,58.25,72.929242049274,111.38
 Genio,2018.27,31601.68,Automatic,111350.17,Bebek,143.12,165.58408626461784,134.41
 Sonic 150,2015.31,18161.63,Manual,52233.47,Skuter,259.92,64.19664668220419,20.91
 CB150R,2014.98,25940.04,Automatic,64787.95,Sport,6.54,73.14137264937659,108.68
 Sonic 150,2011.84,34489.82,Kopling,53880.36,Trail,203.87,98.8522620945334,77.18
 BeAT ,2016.25,5364.42,Kopling,67846.96,Sport,164.39,45.7981115555896,16.82
 BeAT,2017.58,6815.77,Manual,56750.16,Trail,50.87,50.984196662379404,97.74
 CB150R,2014.04,26276.53,Kopling,7034.81,Bebek,245.24,92.6717455715937,91.42
 BeAT ,2017.2,12591.66,Kopling,105171.91,Skuter,110.67,79.25631941282627,77.35
 Verza,2018.72,9549.02,Kopling,53677.93,Trail,88.14,100.4083248569409,138.97
 BeAT,2012.63,5027.05,Manual,70685.52,Trail,248.44,77.12478268015184,78.16
 Vario 125,2015.19,4480.6,Manual,17767.7,Skuter,191.56,109.4991308385401,148.58
 Supra X 125,2013.3,27962.18,Kopling,1789.61,Skuter,269.48,79.83944305368892,76.38
 CB150R,2017.34,7993.19,Manual,30251.59,Skuter,188.97,43.71913611939729,17.38
 CB150R,2015.62,18391.42,Automatic,84291.89,Skuter,222.25,110.06715523932131,70.57
 Verza,2016.08,22702.37,Kopling,13062.13,Skuter,250.93,54.985798358497206,27.35
 Genio,2017.38,17163.15,Manual,108329.79,Sport,16.42,86.66336502899448,89.57
 Revo,2014.17,4644.7,Manual,26690.34,Bebek,232.81,95.765840294726,103.97
 BeAT,2018.32,28243.46,Kopling,25463.28,Bebek,184.11,72.42089782711602,70.27
 Verza,2015.26,4127.0,Manual,22747.05,Trail,20.85,7.021039552895054,14.66
 Supra GTR,2012.26,27569.2,Kopling,3036.07,Skuter,152.57,64.73655180837407,70.3
 BeAT Street,2016.57,31669.21,Manual,92200.86,Sport,24.74,65.4789617434619,12.22
 Revo,2017.35,17303.17,Automatic,104346.69,Sport,220.78,112.70145030225054,102.32
 Supra X 125,2013.53,20507.39,Kopling,73652.77,Trail,163.95,93.15192414523354,118.56
 Revo,2017.86,18680.4,Automatic,23534.42,Skuter,286.07,134.81252363683285,144.36
 Genio,2018.25,15941.92,Kopling,34956.52,Bebek,54.94,39.12301794393609,22.32
 Revo,2013.22,31485.76,Manual,57388.06,Skuter,181.81,98.92768567977016,79.86
 Supra X 125,2018.87,31688.83,Automatic,113678.39,Sport,63.47,112.7684566943674,85.13
 Genio,2012.13,14276.13,Manual,30494.12,Skuter,184.22,88.21113966318185,138.37
 Sonic 150,2012.62,22988.56,Kopling,87475.73,Bebek,216.79,112.83291852508351,94.09
 CB150R,2012.47,32717.59,Kopling,53096.04,Bebek,216.69,77.87200307288562,21.83
 CB150R,2018.15,33814.26,Kopling,36435.42,Trail,244.52,98.87630034729189,65.45
 BeAT Street,2016.23,19678.01,Kopling,55033.61,Sport,256.07,131.25859253048867,98.21
 BeAT ,2012.22,17926.68,Kopling,9769.11,Skuter,23.18,52.53860319447881,105.04
 Sonic 150,2014.52,12493.98,Automatic,95363.76,Skuter,102.98,90.66424880374636,129.46
 Sonic 150,2015.92,33714.84,Kopling,30017.66,Trail,206.14,81.92112822416796,27.08
 BeAT,2011.67,8254.66,Manual,86742.27,Trail,149.58,94.25949802259534,142.73
 CRF 150,2018.06,21889.1,Automatic,9432.8,Trail,57.2,34.65068579958974,8.87
 Revo,2017.43,12614.29,Manual,113766.94,Sport,165.81,146.4986421280645,147.56
 CB150R,2015.04,12503.78,Kopling,24100.95,Skuter,122.23,73.46785423369448,128.67
 Supra X 125,2018.74,16433.61,Manual,105253.55,Trail,117.01,117.42903840347118,99.04
 PCX,2014.34,34960.34,Automatic,96632.81,Sport,242.93,144.43255128576197,110.25
 CRF 150,2018.87,5513.89,Automatic,115268.43,Skuter,122.28,71.39291349394566,10.9
 PCX,2016.34,21848.93,Automatic,57619.14,Bebek,7.94,49.356702979856394,6.22
 Genio,2016.08,6375.17,Manual,86975.84,Trail,17.42,28.741671910455388,15.26
 CB150R,2012.33,8619.9,Automatic,45008.45,Sport,256.87,45.02990061793854,13.1
 CB150R,2018.06,17512.92,Manual,23083.58,Skuter,288.18,92.30313012652132,82.11
 CRF 150,2014.42,19724.85,Kopling,53522.87,Skuter,206.52,61.553626041470864,32.32
 BeAT Street,2012.3,11873.06,Kopling,20892.86,Trail,109.31,71.50642567426246,129.03
 CRF 150,2011.1,13672.15,Manual,116937.39,Trail,281.58,112.04617145699528,66.86
 PCX,2015.48,6512.28,Automatic,12715.27,Skuter,198.84,78.86071085281172,104.33
 CRF 150,2015.22,13259.15,Manual,70717.06,Sport,253.3,117.56190224192348,97.93
 CB150R,2016.75,33954.66,Manual,75100.11,Bebek,229.76,106.7460543456014,47.98
 BeAT Street,2018.12,33272.93,Manual,64700.9,Skuter,113.74,94.03362559621391,36.48
 Revo,2011.64,14246.87,Kopling,79303.13,Sport,143.61,62.64371658693345,51.37
 Supra GTR,2016.85,21609.07,Manual,15060.71,Trail,55.84,102.52495213686596,119.5
 BeAT,2012.5,32177.47,Kopling,66693.92,Skuter,87.6,91.90417519580495,87.94
 Vario 125,2017.87,3991.93,Manual,35184.14,Trail,233.44,54.548522231960774,38.03
 Sonic 150,2017.55,29091.52,Kopling,112011.18,Bebek,268.19,145.99723188802415,122.68
 CRF 150,2015.33,33387.18,Manual,91055.59,Trail,217.34,93.77783458349478,8.21
 BeAT ,2016.68,6648.27,Manual,115816.08,Bebek,139.55,102.38147123023624,104.88
 Genio,2013.51,8836.01,Automatic,5809.81,Trail,25.95,30.883791750594824,65.87
 Supra GTR,2014.77,33773.32,Automatic,34939.48,Trail,17.08,82.35922888315623,109.69
 BeAT,2017.57,20569.71,Manual,24384.23,Bebek,112.3,96.75633295088434,139.12
 BeAT,2014.67,4241.92,Manual,2703.44,Trail,139.15,53.062868008283345,112.51
 BeAT,2013.86,11836.86,Manual,29902.8,Sport,182.74,48.482771073724166,66.29
 BeAT,2014.95,17836.79,Manual,81255.1,Trail,1.95,33.494743464781024,22.65
 PCX,2017.63,25417.07,Automatic,28580.69,Skuter,296.92,137.301474868071,120.95
 BeAT Street,2013.68,26672.87,Kopling,61279.84,Trail,109.18,78.62221511170091,69.11
 Sonic 150,2012.39,34855.16,Manual,105850.79,Sport,254.43,84.72226025469621,11.3
 CB150R,2016.7,12769.06,Automatic,83017.86,Skuter,160.49,105.64124220154166,107.86
 BeAT,2017.61,20590.93,Manual,47822.66,Sport,39.13,54.26983422586929,43.78
 BeAT ,2011.81,20438.16,Manual,45215.32,Skuter,239.27,47.95138595727494,7.33
 CB150R,2012.92,16454.73,Kopling,55012.42,Trail,212.95,112.82975738963209,135.41
 Supra X 125,2012.14,9076.68,Manual,22221.52,Sport,158.23,54.027200666608664,72.47
 Supra X 125,2013.78,34294.67,Manual,75986.9,Trail,154.37,73.37649281279982,42.14
 BeAT ,2014.6,30421.64,Kopling,44236.86,Skuter,26.24,81.65299660779031,107.46
 BeAT Street,2016.99,19346.49,Kopling,101679.45,Sport,196.75,140.50338464366178,132.89
 BeAT ,2016.21,22619.65,Kopling,90406.23,Bebek,273.37,97.89249423506375,0.05
 PCX,2015.97,10889.32,Kopling,73223.37,Sport,27.97,82.07557102847282,103.18
 CRF 150,2013.82,20764.61,Automatic,44242.67,Trail,79.05,66.25955658988127,115.05
 BeAT ,2017.73,25481.37,Automatic,26091.37,Bebek,270.69,73.93220392141725,31.49
 Revo,2014.77,19871.7,Automatic,92712.25,Bebek,85.3,86.36535248332956,73.44
 CB150R,2018.83,34694.91,Manual,58621.41,Skuter,196.18,89.60482359999521,13.39
 Supra GTR,2016.07,22872.25,Kopling,27834.86,Bebek,160.45,99.56003035443739,112.01
 Verza,2012.01,15373.01,Kopling,24355.05,Bebek,178.9,126.98440568092364,127.12
 BeAT Street,2016.41,27889.37,Automatic,20851.91,Skuter,124.74,54.01352957514365,16.23
 BeAT ,2013.6,9117.26,Manual,92831.01,Sport,90.0,102.98243525735056,122.47
 Genio,2016.49,15795.51,Manual,28333.4,Trail,14.56,74.03071534462805,115.74
 Supra X 125,2011.56,14623.77,Manual,63355.2,Sport,223.28,81.09160914776885,52.04
 Revo,2012.4,17270.95,Automatic,54519.49,Bebek,223.83,95.33716551984611,103.54
 Sonic 150,2017.85,28189.75,Manual,69587.44,Trail,201.22,82.86056025613593,0.01
 BeAT,2012.82,18904.71,Manual,104596.17,Sport,193.09,121.34706728421783,139.77
 Verza,2017.7,28571.46,Manual,103489.29,Trail,73.12,98.51436652853955,82.56
 BeAT Street,2013.23,21784.88,Kopling,54464.16,Bebek,6.7,55.92845489965151,93.05
 Supra GTR,2016.14,14471.22,Automatic,3198.98,Sport,242.61,88.04802146033819,99.7
 Verza,2016.55,29069.53,Kopling,51565.95,Trail,147.34,118.27315350599592,84.21
 BeAT ,2015.1,11233.4,Kopling,72715.13,Trail,92.05,73.4403659632635,128.51
 PCX,2013.44,10799.52,Automatic,67017.04,Sport,30.58,66.09183062946056,91.46
 Supra X 125,2012.7,19538.99,Kopling,78026.55,Sport,18.82,70.94265559508071,136.16
 Supra X 125,2011.27,11937.24,Manual,19519.4,Bebek,104.66,45.56094200822484,87.35
 Sonic 150,2013.43,4082.51,Manual,77461.67,Skuter,241.42,76.11985916957349,25.67
 PCX,2016.23,24025.23,Manual,22881.61,Trail,275.62,126.38590730073385,137.03
 BeAT,2018.51,19744.62,Manual,89696.9,Sport,269.03,122.41943253296635,102.24
 CB150R,2017.97,17698.71,Automatic,41287.71,Sport,276.0,108.43927071192108,104.89
 Vario 125,2017.13,33967.45,Kopling,84916.59,Sport,272.32,169.83123494284348,147.82
 Revo,2017.31,21619.84,Kopling,7022.82,Trail,158.17,35.71801784437996,11.28
 Supra X 125,2016.32,30737.2,Manual,49379.4,Bebek,65.82,73.75737698778616,64.29
 Genio,2013.08,8149.71,Manual,84344.66,Skuter,239.41,75.15540764063772,35.86
 Supra X 125,2018.26,21557.67,Kopling,28084.36,Trail,64.11,66.05727040458012,94.56
 Verza,2016.37,30879.1,Automatic,94963.68,Bebek,80.16,137.50030598161618,121.02
 Supra X 125,2015.48,21991.32,Kopling,75607.91,Trail,69.98,114.04166219984712,144.95
 BeAT Street,2011.89,26200.32,Manual,70522.93,Trail,154.49,62.669097427555755,68.19
 Supra X 125,2014.58,15406.39,Manual,42989.2,Sport,96.55,82.74782678993886,117.93
 Vario 125,2014.68,6683.33,Automatic,58155.76,Bebek,46.25,71.30345544770353,137.56
 Vario 125,2017.92,18085.03,Kopling,71674.52,Sport,135.95,109.22183952318186,102.5
 BeAT,2015.37,16106.36,Automatic,56980.42,Sport,262.17,73.40249459399858,36.41
 Supra GTR,2014.04,30850.41,Automatic,83553.85,Bebek,171.17,108.67807500685528,91.18
 CB150R,2018.81,11411.41,Manual,52419.35,Sport,263.5,136.50952720322408,145.49
 Genio,2011.89,33960.14,Kopling,25190.26,Sport,58.76,101.70800346797095,148.13
 Supra X 125,2014.38,33691.95,Manual,26562.23,Skuter,50.09,61.46975183666143,96.35
 Supra X 125,2011.34,11524.86,Kopling,2073.87,Bebek,172.67,73.07878488472079,133.05
 Revo,2016.92,14657.87,Manual,36801.38,Bebek,139.0,46.47732960347932,30.05
 Vario 125,2018.34,31739.44,Manual,89507.9,Sport,198.05,95.67173858461399,36.91
 Genio,2013.24,33956.65,Kopling,94831.39,Sport,238.39,168.0856501820566,142.93
 BeAT,2017.87,17633.86,Kopling,25213.13,Bebek,225.39,67.19781000679501,20.29
 Sonic 150,2013.34,13813.79,Manual,114231.16,Bebek,282.68,82.75102953455163,28.67
 Supra GTR,2018.29,20212.61,Kopling,60503.21,Trail,119.48,88.1959051638143,63.08
 CB150R,2017.03,25256.71,Manual,109281.8,Bebek,61.92,120.71530823281115,88.44
 PCX,2017.44,12331.13,Kopling,84548.3,Trail,165.27,109.21138840962921,90.57
 CB150R,2011.14,26776.23,Manual,86391.79,Sport,33.22,39.82859566672168,43.8
 BeAT Street,2018.7,5410.66,Manual,11397.15,Skuter,86.66,71.20309388364623,138.09
 Verza,2016.81,5336.94,Manual,27274.94,Skuter,62.37,85.93588967616408,137.26
 BeAT Street,2013.44,15850.79,Automatic,2428.14,Trail,118.97,35.10842909189191,58.81
 Supra X 125,2017.64,14827.01,Kopling,85649.86,Sport,33.36,71.39672671717831,65.14
 Supra GTR,2013.25,13646.44,Manual,41917.26,Sport,9.55,62.804590839247055,105.37
 Verza,2017.98,19118.33,Automatic,93947.75,Sport,197.04,109.6424619728085,99.45
 Genio,2011.9,13805.57,Manual,41269.9,Bebek,183.07,61.161539049445,57.34
 PCX,2016.63,9797.25,Automatic,97792.99,Sport,212.51,62.18385938752462,62.14
 Vario 125,2015.33,13454.14,Manual,16768.83,Bebek,198.12,49.865712784878326,52.21
 Supra GTR,2011.77,34215.04,Manual,21789.91,Trail,34.29,34.54087174642051,35.31
 Supra GTR,2012.94,16625.33,Automatic,41498.19,Skuter,87.32,41.825010737702314,68.72
 BeAT Street,2011.1,17673.59,Automatic,49453.22,Trail,38.86,77.67325084591934,102.97
 Supra X 125,2014.75,21786.63,Kopling,42419.02,Sport,252.89,97.4211384849878,111.3
 BeAT ,2013.41,34478.25,Kopling,91240.95,Sport,224.07,131.03275052248836,116.83
 BeAT,2015.79,11336.72,Automatic,12798.2,Trail,60.46,36.3259677694014,56.21
 BeAT Street,2013.38,25054.32,Kopling,42714.84,Bebek,102.39,101.50429404709699,114.7
 Supra GTR,2013.4,26137.01,Automatic,99899.82,Bebek,289.98,76.46003714717098,0.98
 CRF 150,2016.95,22746.91,Kopling,9250.28,Bebek,178.25,86.49069002696493,71.56
 Revo,2011.39,6562.56,Manual,112266.19,Skuter,240.35,116.88328146554359,119.09
 PCX,2018.22,24916.74,Kopling,117440.05,Skuter,79.38,99.97921609526519,94.51
 BeAT,2017.82,5798.69,Manual,11811.84,Sport,63.02,45.48995459552563,71.11
 BeAT Street,2016.34,22398.05,Manual,35661.83,Trail,235.18,105.7985910379597,96.7
 PCX,2015.75,26873.19,Kopling,45207.29,Trail,205.76,116.19944954239155,136.04
 Revo,2018.14,10381.05,Automatic,92740.43,Sport,204.29,106.43514084041534,84.96
 Sonic 150,2012.48,30056.77,Manual,71507.15,Bebek,165.79,109.56090518062423,119.97
 Revo,2011.63,4746.01,Manual,77206.42,Skuter,169.07,104.07008753038617,147.11
 Revo,2012.92,30125.12,Kopling,90518.85,Trail,220.71,131.45222475007824,105.84
 PCX,2017.36,18160.81,Automatic,15272.29,Sport,81.0,78.51437872233457,86.0
 CB150R,2011.28,10587.53,Automatic,99425.59,Bebek,105.83,28.581652706385498,5.62
 PCX,2015.66,7972.74,Kopling,84413.52,Bebek,261.49,114.57595913345328,56.17
 BeAT ,2018.96,33541.23,Automatic,69320.45,Skuter,92.66,80.71963064301801,84.82
 Supra X 125,2017.85,6066.09,Kopling,106076.37,Skuter,163.89,112.44906680633913,119.58
 Verza,2015.17,10010.52,Kopling,83788.35,Sport,210.79,94.68175576257428,65.72
 CB150R,2011.51,14650.71,Kopling,25122.82,Sport,299.98,118.40761804455774,144.01
 Vario 125,2017.65,23149.71,Manual,51954.41,Bebek,130.59,62.97022268828344,40.77
 Verza,2015.79,20796.25,Manual,59519.59,Bebek,128.43,94.99939218874712,111.69
 Supra X 125,2011.92,7718.95,Manual,7887.85,Trail,252.78,54.30212548273133,62.85
 BeAT Street,2011.75,12838.22,Kopling,113712.7,Bebek,241.65,97.54172657550241,72.9
 BeAT,2018.28,11247.82,Manual,16519.27,Sport,219.32,107.01710632081553,120.38
 BeAT ,2016.35,10461.32,Manual,83453.6,Skuter,138.97,72.72793015719138,44.43
 BeAT ,2017.63,16626.29,Manual,60953.64,Sport,97.18,41.67435265304971,14.52
 Vario 125,2018.03,25764.08,Kopling,4406.86,Trail,182.62,90.79435255143011,78.04
 CB150R,2015.57,10583.31,Kopling,110195.86,Trail,262.87,117.87732962295077,79.32
